question_id,source_key,region,year,specialty,exam_part,question_number,question_text,option_a,option_b,option_c,option_d,correct_letter,correct_option_text,flags,page_in_exam_pdf,source_exam_pdf,source_answer_key_pdf,origin,content_sha256,raw_form_sha256
r006,galicia|2016|main|86,Galicia,2016,aparato-digestivo,main,86,"En relación con la aparición de un pioderma gangrenoso en un paciente con colitis ulcerosa, ¿qué es cierto?",Es una manifestación extraintestinal que sólo se observa en brotes graves de colitis ulcerosa o enfermedad de Crohn.,A menudo suelen aparecer tras un pequeño trauma en la zona (patergia).,El tratamiento de primera línea del pioderma gangrenoso son los antibióticos.,"Cualquier tratamiento biológico, incluyendo Infliximab, adalimumab o vedolizumab se considera adecuado ante un pioderma gangrenoso que no responda a tratamiento esteroideo.",b,A menudo suelen aparecer tras un pequeño trauma en la zona (patergia).,,21,AD_GALICIA_OPE_2016__EXAM__gal-02__aparato-digestivo-cas-20171029192531-cas-pdf.pdf,AD_GALICIA_OPE_2016__CORRECTION__gal-03__aparello-dixestivo-20180201084525-cas-pdf.pdf,replacement22_2026-08-04,28cacccb653af0dad2d5967a05880422fe4140f5beabaafb28ec93bbf2e295b8,28cacccb653af0dad2d5967a05880422fe4140f5beabaafb28ec93bbf2e295b8
b9,illes-balears|2022|caso-1|9,Illes Balears,2022,aparato-digestivo,caso-1,9,"Paciente de 57 años, sin antecedentes personales ni familiares de cáncer de colon ni de cáncer en otras localizaciones, fumador de 22 cigarrillos al día, con hábitos de vida sedentarios, enolismo de 60 gr/día, obesidad con un índice de masa corporal de 37 y una dieta rica en carnes rojas y procesadas.

Se repite la colonoscopia y se objetiva la presencia de un pólipo único pediculado de 15 mm a 30 cm del margen anal. La colonoscopia es completa hasta el ciego, con 9 puntos en la escala de Boston. Se hace una polipectomía con una resección completa del pólipo con su pedículo. En el estudio histológico se describe un adenoma tubulovelloso con displasia de alto grado focal estrictamente superficial, con márgenes de resección libres de tejido adenomatoso con margen de resección amplio en el pedículo. Señale la respuesta correcta:",Se requiere un tratamiento quirúrgico complementario para asegurar la curación de la lesión.,La lesión ha quedado curada tras la resección endoscópica.,Se debe repetir la colonoscopia de inmediato para revisar la escara de la polipectomía dado el riesgo alto de lesión residual.,Se debe hacer una TC abdominal complementaria como estudio de la extensión de la lesión.,b,La lesión ha quedado curada tras la resección endoscópica.,,6,AD_ILLES_BALEARS_2022__EXAM__exam__cuadernillo-de-examen-aparato-digestivo-fea.pdf,AD_ILLES_BALEARS_2022__ANSWER_KEY__answer-key__plantilla-correctora-del-examen.pdf,retained318,4d35a80c2ab6502131f84057b3759c49efdcabf8f25ffec9782d180f40b51443,56368f3047a82b9ba95d2eda397351d93a8bd815d559f2130ac1a68b735938c6
r007,galicia|2019|main|81,Galicia,2019,aparato-digestivo,main,81,"En cuanto al síndrome del intestino irritable, señale la respuesta VERDADERA:",Comienzo de síntomas en mayores de 50 años no es signo de alarma.,En el hombre es más frecuente el estreñimiento y en la mujer la diarrea.,El pioderma gangrenoso no es signo de organicidad.,La malabsorción de fructosa y sorbitol puede contribuir a los síntomas en algunos pacientes.,d,La malabsorción de fructosa y sorbitol puede contribuir a los síntomas en algunos pacientes.,,16,AD_GALICIA_OPE_2019__EXAM__gal-05__cas-especifico-digestivo-20210925132858-cas-pdf.pdf,AD_GALICIA_OPE_2019__CORRECTION__gal-07__fea-aparello-dixestivo-20211214124928-cas-pdf.pdf,replacement22_2026-08-04,0c63d442a22191d309528e8228cdcaeaaff0f5e72a5eb2d37fa362579b8f0bb8,0c63d442a22191d309528e8228cdcaeaaff0f5e72a5eb2d37fa362579b8f0bb8
b11,illes-balears|2022|caso-1|11,Illes Balears,2022,aparato-digestivo,caso-1,11,"Paciente de 57 años, sin antecedentes personales ni familiares de cáncer de colon ni de cáncer en otras localizaciones, fumador de 22 cigarrillos al día, con hábitos de vida sedentarios, enolismo de 60 gr/día, obesidad con un índice de masa corporal de 37 y una dieta rica en carnes rojas y procesadas.

Este paciente tiene un hermano de 52 años, asintomático. En la familia no existen otros antecedentes de CCR. ¿Qué recomendación debemos dar al hermano en cuanto a prevención del CCR?",Es susceptible de endoscopia de forma inmediata.,No requiere ningún tipo de procedimiento dada la edad y la ausencia de clínica asociada.,En este caso se recomienda el control por medio de una SOH bianual.,Se le debe ofrecer una colonoscopia anual como herramienta de prevención más eficaz a nivel de coste.,c,En este caso se recomienda el control por medio de una SOH bianual.,,6,AD_ILLES_BALEARS_2022__EXAM__exam__cuadernillo-de-examen-aparato-digestivo-fea.pdf,AD_ILLES_BALEARS_2022__ANSWER_KEY__answer-key__plantilla-correctora-del-examen.pdf,retained318,4c383eef4717778210749fa7bfae2c1ff3dcc952068d550dc2c721252ba7a0af,62cf4a93a4f0332eed19b3950c87083000946a44472f96b10e30141db2e7479d
b12,illes-balears|2022|caso-1|12,Illes Balears,2022,aparato-digestivo,caso-1,12,"Paciente de 57 años, sin antecedentes personales ni familiares de cáncer de colon ni de cáncer en otras localizaciones, fumador de 22 cigarrillos al día, con hábitos de vida sedentarios, enolismo de 60 gr/día, obesidad con un índice de masa corporal de 37 y una dieta rica en carnes rojas y procesadas.

El paciente deja de acudir a les consultas externas. Regresa al cabo de siete años con un cuadro de rectorragias asociadas a una pérdida de ocho quilos. Señale la respuesta correcta:",No requiere una colonoscopia porque tiene una de hace siete años.,Requiere colonoscopia por la clínica que presenta para descartar un CCR.,En este caso basta con un análisis de SOH.,La exploración inicial debe ser una ecografía abdominal.,b,Requiere colonoscopia por la clínica que presenta para descartar un CCR.,,7,AD_ILLES_BALEARS_2022__EXAM__exam__cuadernillo-de-examen-aparato-digestivo-fea.pdf,AD_ILLES_BALEARS_2022__ANSWER_KEY__answer-key__plantilla-correctora-del-examen.pdf,retained318,b02c5b6670c3190bdaa4c2e5d9e6cc482f67d73dd28c11e8b8293e7bb3a0f859,a7b1d18ee1e930d80e2e080e50536182a935d5cb282a5c66fb4eef1194909c6e
r008,la-rioja|2024|main|95,La Rioja,2024,aparato-digestivo,main,95,Un paciente con disfagia progresiva sufre pérdida de peso. La endoscopia revela una lesión ulcerada estenosante en el tercio medio esofágico. ¿Cuál de los siguientes hallazgos histológicos sería más característico del diagnóstico más probable?:,Glándulas atípicas infiltrativas con invasión progresiva de la pared.,Glándulas gástricas ectópicas con metaplasia intestinal.,Células escamosas atípicas con pérdida de la polaridad nuclear.,Proliferación linfoide con patrón en cielo estrellado.,c,Células escamosas atípicas con pérdida de la polaridad nuclear.,,24,AD_LA_RIOJA_2023_2024__EXAM__exam__fea-aparato-digestivo-2025.pdf,AD_LA_RIOJA_2023_2024__CORRECTION__correction__plantilla-respuestas-modificada-fea-aparato-digestivo-2025.pdf,replacement22_2026-08-04,53fb04f87c7274a0054fb0e2aca094fe1a1966008ca36539591db0b5c18f3b23,53fb04f87c7274a0054fb0e2aca094fe1a1966008ca36539591db0b5c18f3b23
r009,castilla-la-mancha|2017|main|22,Castilla-La Mancha,2017,aparato-digestivo,main,22,¿Mediante técnicas de inmunohistoquímica cuáles serán las características de un schwannoma gástrico y que permitan distinguirlo de un GIST gástrico?,"Proteína S 100 positivo, c-Kit positivo.","Proteína S 100 positivo, c-Kit negativo.","Proteína S 100 negativo, c-Kit positivo.","Proteína S 100 negativo, c-Kit negativo.",b,"Proteína S 100 positivo, c-Kit negativo.",,5,AD_CASTILLA_LA_MANCHA_2017_2018__EXAM__exam__cuestionario-fea-aparato-digestivo.pdf,AD_CASTILLA_LA_MANCHA_2017_2018__CORRECTION__correction__plantilla-correctora-definitiva-fea-aparato-digestivo.pdf,replacement22_2026-08-04,96ccb13ce5e05d56f54378057e397ecd8738645e1b7347fb2d39fd9deac767b4,96ccb13ce5e05d56f54378057e397ecd8738645e1b7347fb2d39fd9deac767b4
b13,illes-balears|2022|caso-1|14,Illes Balears,2022,aparato-digestivo,caso-1,13,"Paciente de 57 años, sin antecedentes personales ni familiares de cáncer de colon ni de cáncer en otras localizaciones, fumador de 22 cigarrillos al día, con hábitos de vida sedentarios, enolismo de 60 gr/día, obesidad con un índice de masa corporal de 37 y una dieta rica en carnes rojas y procesadas.

El estudio de extensión muestra ausencia de lesiones a distancia en el pulmón o el hígado. También muestra ausencia de adenopatías evidentes. Se objetiva una lesión neoformativa con una imagen sugestiva de infiltración hasta la submucosa, pero sin contactar con la muscular propia. Señale la respuesta correcta respecto al estadiaje:",Estadio T3N1M1.,Estadio T2N0M0.,Estadio T1N0M0.,Estadio T2N1M0.,c,Estadio T1N0M0.,,7,AD_ILLES_BALEARS_2022__EXAM__exam__cuadernillo-de-examen-aparato-digestivo-fea.pdf,AD_ILLES_BALEARS_2022__ANSWER_KEY__answer-key__plantilla-correctora-del-examen.pdf,retained318,aff3151dc1a61323e21c11bd0589e0005b300a751ff913dbcdd31b8c953d0df1,35734e67839db9acb971f86c6a1e7a15b32dd556c9698409f4b20a8e74f7e3b4
r010,andalucia|2022|cuestionario-teorico|74,Andalucía,2022,aparato-digestivo,cuestionario-teorico,74,"Mujer de 27 años, sin antecedentes, consulta por dolor epigástrico y náuseas de 3 meses de evolución y pérdida ponderal de 4 kg. Analíticamente destaca Hb de 13 g/dl, leucocitos de 13.000/mm3, amilasa 190 U/L y lipasa 45 U/L. En un TAC de abdomen se observa una masa sólido-quística, heterogénea de 5 cm de diámetro situada en el cuerpo del páncreas, encapsulada, que comprime vena esplénica desplazando la arteria esplénica. ¿Cuál es el diagnóstico más probable?",Neoplasia mucinosa papilar intraductal.,Tumor pseudopapilar sólido.,Cistoadenoma mucinoso quístico.,Cistoadenoma seroso microquístico,b,Tumor pseudopapilar sólido.,,20,AD_ANDALUCIA_2022_EXTRAORDINARIA_LIBRE__EXAM__12__revisado-56007-fea-aparato-digestivo-final-pdf.pdf,AD_ANDALUCIA_2022_EXTRAORDINARIA_LIBRE__CORRECTION__14__def-feaapdigestivo-sas-2023-pdf.pdf,replacement22_2026-08-04,52da835565b44f8179eda8a15fe2499264052df7e3864003daa63513f49372e9,52da835565b44f8179eda8a15fe2499264052df7e3864003daa63513f49372e9
b21,illes-balears|2022|caso-1|22,Illes Balears,2022,aparato-digestivo,caso-1,21,"Paciente de 57 años, sin antecedentes personales ni familiares de cáncer de colon ni de cáncer en otras localizaciones, fumador de 22 cigarrillos al día, con hábitos de vida sedentarios, enolismo de 60 gr/día, obesidad con un índice de masa corporal de 37 y una dieta rica en carnes rojas y procesadas.

En el caso de este paciente, se hace un estudio inmunohistoquímico sobre el bloque parafinado del tumor. Se detecta un déficit de expresión de MSH6; una expresión correcta de MLH1, MSH2, PMS2. Asimismo, se objetiva la presencia de inestabilidad de microsatélites. Señale la respuesta correcta:",Con este resultado se puede considerar que no existe alteración de la inmunohistoquímica y se puede descartar el síndrome de Lynch.,Existe déficit de expresión de MSH6 por lo que se debe continuar el estudio por un posible síndrome de Lynch.,Se trata de un resultado típico de la poliposis adenomatosa familiar.,Se trata de un resultado típico del síndrome de poliposis serrada.,b,Existe déficit de expresión de MSH6 por lo que se debe continuar el estudio por un posible síndrome de Lynch.,,10,AD_ILLES_BALEARS_2022__EXAM__exam__cuadernillo-de-examen-aparato-digestivo-fea.pdf,AD_ILLES_BALEARS_2022__ANSWER_KEY__answer-key__plantilla-correctora-del-examen.pdf,retained318,3d336498426e882f379b5ec7ea2f528efffa4fd14b70b8388015b411759490e9,f86df86c45ee4e99b703beed3a157440988db7b6a0d7cf3ad27c35cba42f5a26
r011,andalucia|2021|cuestionario-teorico|23,Andalucía,2021,aparato-digestivo,cuestionario-teorico,23,"Un hombre de 45 años consulta por diarreas acuosas muy abundantes de cuatro meses de evolución. La diarrea no se controla con el ayuno ni con loperamida. Refiere una pérdida de 7 kg de peso (10%). En la exploración física presenta hipotensión arterial 95/55 mmHg con una frecuencia cardíaca de 110 spm. Refiere dolor a la palpación profunda en mesogastrio. En el TC abdominal se observa una masa de 5,1 x 5,8 x 4 cm en la cola del páncreas. ¿Cuál sería su diagnóstico de sospecha?",Adenocarcinoma de páncreas,VIPoma,Peptidoma YY (tirosina/tirosina),Somatostatinoma,b,VIPoma,,7,AD_ANDALUCIA_2021_22_LIBRE__EXAM__07__9122-aparato-digestivo-pdf.pdf,AD_ANDALUCIA_2021_22_LIBRE__CORRECTION__09__9122-plantilla-respuestas-def-digestivo-pdf.pdf,replacement22_2026-08-04,2d41c19f2b72bb9ce15682165588969b834f0e95f0d746458cd1a19f8a331518,2d41c19f2b72bb9ce15682165588969b834f0e95f0d746458cd1a19f8a331518
b22,illes-balears|2022|caso-1|23,Illes Balears,2022,aparato-digestivo,caso-1,22,"Paciente de 57 años, sin antecedentes personales ni familiares de cáncer de colon ni de cáncer en otras localizaciones, fumador de 22 cigarrillos al día, con hábitos de vida sedentarios, enolismo de 60 gr/día, obesidad con un índice de masa corporal de 37 y una dieta rica en carnes rojas y procesadas.

Se hace un estudio genético por medio de un panel de colon, para el estudio de mutaciones germinales. El estudio es negativo y muestra una ausencia de mutaciones en el conjunto de genes asociados al síndrome de Lynch y a la poliposis adenomatosa. El estudio de deleciones también ha sido negativo. Señale la entidad a la que corresponde la situación de este caso:",Poliposis adenomatosa familiar.,Síndrome de Lynch.,Síndrome X.,Síndrome de Lynch-like.,d,Síndrome de Lynch-like.,,10,AD_ILLES_BALEARS_2022__EXAM__exam__cuadernillo-de-examen-aparato-digestivo-fea.pdf,AD_ILLES_BALEARS_2022__ANSWER_KEY__answer-key__plantilla-correctora-del-examen.pdf,retained318,6c2ec099ff4b322682fc7fb3c440c5da0428f52c24f0de9f8517c753e844d739,b39e4b5f3199d723c6be074d264bd8bc55238c363684be4ee6158ed7fedf48df
r012,andalucia|2021|cuestionario-teorico|94,Andalucía,2021,aparato-digestivo,cuestionario-teorico,94,¿Cuál de las siguientes afirmaciones es correcta en relación a la caracterización de las lesiones neoplásicas del colon?.,Las lesiones de extensión lateral granulares (LST-G) tienen mayor riesgo de invasión submucosa que las no granulares (LST-NG).,Para la realización de la clasificación de Kudo se requiere magnificación óptica.,Para la realización de la clasificación de NICE se requiere magnificación y Narrow Band Imaging (NBI).,"En la clasificación JNET las lesiones según su patrón vascular y de superficie se dividen en tres tipos (tipo 1, tipo 2 y tipo 3).",b,Para la realización de la clasificación de Kudo se requiere magnificación óptica.,,22,AD_ANDALUCIA_2021_22_LIBRE__EXAM__07__9122-aparato-digestivo-pdf.pdf,AD_ANDALUCIA_2021_22_LIBRE__CORRECTION__09__9122-plantilla-respuestas-def-digestivo-pdf.pdf,replacement22_2026-08-04,66675bb958a9916ef57e726a0958153676b4016fd0ae1dabe452d40d33eb5ee7,66675bb958a9916ef57e726a0958153676b4016fd0ae1dabe452d40d33eb5ee7
b24,illes-balears|2022|caso-2|25,Illes Balears,2022,aparato-digestivo,caso-2,24,"Varón de 63 años remitido a la unidad de endoscopia para hacerle una gastroscopia por un reflujo de larga evolución (superior a 10 años). El paciente es obeso, hipertenso y fumador. Refiere disfagia a sólidos desde hace un mes. Se hace una gastroscopia que detecta a 32 cm de las arcadas dentarias la presencia de una mucosa ectópica que se extiende hasta la unión esofagogástrica situada a 38 cm de las arcadas dentarias en donde se aprecian signos de esofagitis por reflujo grado C.
Se pauta un tratamiento médico y se hace una nueva gastroscopia a las ocho semanas. En ella se aprecia la mucosa ectópica descrita previamente sugestiva de esófago de Barrett (C5M6) con una cicatrización completa de la esofagitis por reflujo y a 35 cm de las arcadas dentarias se aprecia un área irregular sobreelevada de unos 8 mm (0-Is) diferente al resto de la mucosa circundante. Se hacen biopsias de forma aleatoria de la lesión descrita, suponiendo que puede tratarse de un esófago de Barrett según el protocolo de Seattle. Los resultados de la lesión visible en el esófago confirman un esófago
de Barrett con metaplasia intestinal y presencia de focos de displasia de grado alto y las biopsias aleatorias confirmaban el esófago de Barrett sin displasia. Se planifica una estrategia de tratamiento y seguimiento.

Señale la afirmación falsa en referencia al diagnóstico de la enfermedad por reflujo gastroesofágico (ERGE):",El paciente que presenta síntomas típicos de enfermedad por reflujo puede diagnosticarse a partir de la historia clínica y generalmente no requiere otras investigaciones.,La endoscopia digestiva está indicada como método diagnóstico inicial en todos los pacientes que muestran síntomas típicos de ERGE.,El ensayo terapéutico con inhibidores de la bomba de protones (IBP) tiene valor diagnóstico en los pacientes con síntomas típicos de ERGE.,La pH-metría está indicada para investigar la presencia de reflujo en los pacientes que no responden al tratamiento empírico y presentan una endoscopia negativa.,b,La endoscopia digestiva está indicada como método diagnóstico inicial en todos los pacientes que muestran síntomas típicos de ERGE.,negated,11,AD_ILLES_BALEARS_2022__EXAM__exam__cuadernillo-de-examen-aparato-digestivo-fea.pdf,AD_ILLES_BALEARS_2022__ANSWER_KEY__answer-key__plantilla-correctora-supuesto-2.pdf,retained318,46b617af1800cd3ba2810ae6308d98cf5f1a55cd037f319fc8ea9f0d4f414030,e8414a7d0418b4a763e8d0db89edd48cea5497d302c3ef9b80df2bbacf13a0ff
