question_id,n_correct_of_12,difficulty_overall,n_correct_of_4_openrouter_A,n_correct_of_4_openrouter_B,n_correct_of_4_tailscale_A,difficulty_openrouter_A,difficulty_openrouter_B,difficulty_tailscale_A
b296,3,0.25,1,1,1,0.25,0.25,0.25
b297,9,0.75,3,3,3,0.75,0.75,0.75
b299,7,0.5833333333333334,3,2,2,0.75,0.5,0.5
b30,10,0.8333333333333334,4,2,4,1.0,0.5,1.0
b300,5,0.4166666666666667,1,1,3,0.25,0.25,0.75
b301,8,0.6666666666666666,4,1,3,1.0,0.25,0.75
b304,10,0.8333333333333334,4,3,3,1.0,0.75,0.75
b306,12,1.0,4,4,4,1.0,1.0,1.0
b307,12,1.0,4,4,4,1.0,1.0,1.0
b309,12,1.0,4,4,4,1.0,1.0,1.0
b31,12,1.0,4,4,4,1.0,1.0,1.0
b310,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
b311,12,1.0,4,4,4,1.0,1.0,1.0
b313,12,1.0,4,4,4,1.0,1.0,1.0
b314,12,1.0,4,4,4,1.0,1.0,1.0
b317,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
b318,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
b319,12,1.0,4,4,4,1.0,1.0,1.0
b32,12,1.0,4,4,4,1.0,1.0,1.0
b321,8,0.6666666666666666,2,2,4,0.5,0.5,1.0
b322,6,0.5,3,0,3,0.75,0.0,0.75
b323,7,0.5833333333333334,3,2,2,0.75,0.5,0.5
b325,8,0.6666666666666666,3,2,3,0.75,0.5,0.75
b326,2,0.16666666666666666,1,0,1,0.25,0.0,0.25
b327,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
b329,10,0.8333333333333334,4,2,4,1.0,0.5,1.0
b33,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
b330,11,0.9166666666666666,3,4,4,0.75,1.0,1.0
b332,12,1.0,4,4,4,1.0,1.0,1.0
b333,8,0.6666666666666666,1,3,4,0.25,0.75,1.0
b334,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
b335,10,0.8333333333333334,3,3,4,0.75,0.75,1.0
b336,12,1.0,4,4,4,1.0,1.0,1.0
b338,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
b339,12,1.0,4,4,4,1.0,1.0,1.0
b344,12,1.0,4,4,4,1.0,1.0,1.0
b345,12,1.0,4,4,4,1.0,1.0,1.0
b346,12,1.0,4,4,4,1.0,1.0,1.0
b348,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
b349,12,1.0,4,4,4,1.0,1.0,1.0
b35,7,0.5833333333333334,3,1,3,0.75,0.25,0.75
b353,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
b354,9,0.75,4,1,4,1.0,0.25,1.0
b355,3,0.25,1,0,2,0.25,0.0,0.5
b357,9,0.75,4,2,3,1.0,0.5,0.75
b358,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
b359,9,0.75,4,1,4,1.0,0.25,1.0
b36,9,0.75,4,1,4,1.0,0.25,1.0
b360,12,1.0,4,4,4,1.0,1.0,1.0
b362,8,0.6666666666666666,3,2,3,0.75,0.5,0.75
b363,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
b364,8,0.6666666666666666,4,1,3,1.0,0.25,0.75
b366,12,1.0,4,4,4,1.0,1.0,1.0
b367,10,0.8333333333333334,4,2,4,1.0,0.5,1.0
b368,12,1.0,4,4,4,1.0,1.0,1.0
b37,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
b370,6,0.5,4,0,2,1.0,0.0,0.5
b371,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
b372,10,0.8333333333333334,4,2,4,1.0,0.5,1.0
b373,6,0.5,2,2,2,0.5,0.5,0.5
b374,8,0.6666666666666666,4,0,4,1.0,0.0,1.0
b375,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
b376,12,1.0,4,4,4,1.0,1.0,1.0
b379,9,0.75,3,3,3,0.75,0.75,0.75
b38,12,1.0,4,4,4,1.0,1.0,1.0
b381,10,0.8333333333333334,4,2,4,1.0,0.5,1.0
b383,8,0.6666666666666666,4,1,3,1.0,0.25,0.75
b384,12,1.0,4,4,4,1.0,1.0,1.0
b386,8,0.6666666666666666,2,3,3,0.5,0.75,0.75
b387,10,0.8333333333333334,3,3,4,0.75,0.75,1.0
b388,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
b39,12,1.0,4,4,4,1.0,1.0,1.0
b390,9,0.75,4,3,2,1.0,0.75,0.5
b392,12,1.0,4,4,4,1.0,1.0,1.0
b393,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
b395,12,1.0,4,4,4,1.0,1.0,1.0
b4,12,1.0,4,4,4,1.0,1.0,1.0
b400,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
b403,12,1.0,4,4,4,1.0,1.0,1.0
b405,12,1.0,4,4,4,1.0,1.0,1.0
b411,10,0.8333333333333334,4,2,4,1.0,0.5,1.0
b413,3,0.25,0,3,0,0.0,0.75,0.0
b414,5,0.4166666666666667,2,1,2,0.5,0.25,0.5
b415,12,1.0,4,4,4,1.0,1.0,1.0
b416,12,1.0,4,4,4,1.0,1.0,1.0
b417,9,0.75,3,2,4,0.75,0.5,1.0
b418,12,1.0,4,4,4,1.0,1.0,1.0
b42,12,1.0,4,4,4,1.0,1.0,1.0
b421,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
b422,9,0.75,3,3,3,0.75,0.75,0.75
b423,10,0.8333333333333334,4,2,4,1.0,0.5,1.0
b425,8,0.6666666666666666,4,0,4,1.0,0.0,1.0
b427,7,0.5833333333333334,1,4,2,0.25,1.0,0.5
b43,10,0.8333333333333334,4,2,4,1.0,0.5,1.0
b431,10,0.8333333333333334,4,2,4,1.0,0.5,1.0
b432,9,0.75,4,2,3,1.0,0.5,0.75
b434,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
b435,10,0.8333333333333334,4,2,4,1.0,0.5,1.0
b44,10,0.8333333333333334,4,2,4,1.0,0.5,1.0
b440,12,1.0,4,4,4,1.0,1.0,1.0
b441,11,0.9166666666666666,4,4,3,1.0,1.0,0.75
b442,8,0.6666666666666666,3,2,3,0.75,0.5,0.75
b443,12,1.0,4,4,4,1.0,1.0,1.0
b444,10,0.8333333333333334,4,2,4,1.0,0.5,1.0
b446,10,0.8333333333333334,4,2,4,1.0,0.5,1.0
b447,10,0.8333333333333334,4,2,4,1.0,0.5,1.0
b449,12,1.0,4,4,4,1.0,1.0,1.0
b45,12,1.0,4,4,4,1.0,1.0,1.0
b450,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
b455,5,0.4166666666666667,1,0,4,0.25,0.0,1.0
b456,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
b457,11,0.9166666666666666,4,4,3,1.0,1.0,0.75
b459,10,0.8333333333333334,3,3,4,0.75,0.75,1.0
b46,7,0.5833333333333334,3,1,3,0.75,0.25,0.75
b460,12,1.0,4,4,4,1.0,1.0,1.0
b462,12,1.0,4,4,4,1.0,1.0,1.0
b464,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
b467,10,0.8333333333333334,3,3,4,0.75,0.75,1.0
b469,10,0.8333333333333334,4,2,4,1.0,0.5,1.0
b47,12,1.0,4,4,4,1.0,1.0,1.0
b470,0,0.0,0,0,0,0.0,0.0,0.0
b471,9,0.75,2,3,4,0.5,0.75,1.0
b472,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
b473,12,1.0,4,4,4,1.0,1.0,1.0
b474,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
b475,10,0.8333333333333334,4,2,4,1.0,0.5,1.0
b478,7,0.5833333333333334,3,1,3,0.75,0.25,0.75
b479,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
b48,12,1.0,4,4,4,1.0,1.0,1.0
b480,9,0.75,3,3,3,0.75,0.75,0.75
b481,10,0.8333333333333334,3,3,4,0.75,0.75,1.0
b483,12,1.0,4,4,4,1.0,1.0,1.0
b484,5,0.4166666666666667,2,1,2,0.5,0.25,0.5
b485,10,0.8333333333333334,4,2,4,1.0,0.5,1.0
b486,5,0.4166666666666667,2,1,2,0.5,0.25,0.5
b487,12,1.0,4,4,4,1.0,1.0,1.0
b489,12,1.0,4,4,4,1.0,1.0,1.0
b49,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
b490,10,0.8333333333333334,4,3,3,1.0,0.75,0.75
b493,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
b494,10,0.8333333333333334,3,4,3,0.75,1.0,0.75
b498,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
b499,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
b5,12,1.0,4,4,4,1.0,1.0,1.0
b50,12,1.0,4,4,4,1.0,1.0,1.0
b51,12,1.0,4,4,4,1.0,1.0,1.0
b52,9,0.75,4,1,4,1.0,0.25,1.0
b54,12,1.0,4,4,4,1.0,1.0,1.0
b55,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
b56,12,1.0,4,4,4,1.0,1.0,1.0
b57,12,1.0,4,4,4,1.0,1.0,1.0
b59,12,1.0,4,4,4,1.0,1.0,1.0
b6,12,1.0,4,4,4,1.0,1.0,1.0
b61,4,0.3333333333333333,2,1,1,0.5,0.25,0.25
b64,12,1.0,4,4,4,1.0,1.0,1.0
b65,12,1.0,4,4,4,1.0,1.0,1.0
b66,12,1.0,4,4,4,1.0,1.0,1.0
b68,12,1.0,4,4,4,1.0,1.0,1.0
b69,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
b7,10,0.8333333333333334,4,2,4,1.0,0.5,1.0
b71,12,1.0,4,4,4,1.0,1.0,1.0
b73,12,1.0,4,4,4,1.0,1.0,1.0
b76,10,0.8333333333333334,4,2,4,1.0,0.5,1.0
b77,10,0.8333333333333334,3,4,3,0.75,1.0,0.75
b78,10,0.8333333333333334,3,3,4,0.75,0.75,1.0
b79,12,1.0,4,4,4,1.0,1.0,1.0
b81,12,1.0,4,4,4,1.0,1.0,1.0
b82,12,1.0,4,4,4,1.0,1.0,1.0
b83,12,1.0,4,4,4,1.0,1.0,1.0
b85,12,1.0,4,4,4,1.0,1.0,1.0
b86,12,1.0,4,4,4,1.0,1.0,1.0
b87,12,1.0,4,4,4,1.0,1.0,1.0
b88,7,0.5833333333333334,3,1,3,0.75,0.25,0.75
b89,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
b9,12,1.0,4,4,4,1.0,1.0,1.0
b90,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
b92,12,1.0,4,4,4,1.0,1.0,1.0
b93,12,1.0,4,4,4,1.0,1.0,1.0
b95,12,1.0,4,4,4,1.0,1.0,1.0
b98,12,1.0,4,4,4,1.0,1.0,1.0
b99,10,0.8333333333333334,4,2,4,1.0,0.5,1.0
n001,8,0.6666666666666666,3,2,3,0.75,0.5,0.75
n002,12,1.0,4,4,4,1.0,1.0,1.0
n003,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
n004,9,0.75,4,1,4,1.0,0.25,1.0
n005,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
n006,12,1.0,4,4,4,1.0,1.0,1.0
n007,8,0.6666666666666666,3,1,4,0.75,0.25,1.0
n008,12,1.0,4,4,4,1.0,1.0,1.0
n009,12,1.0,4,4,4,1.0,1.0,1.0
n010,12,1.0,4,4,4,1.0,1.0,1.0
n011,12,1.0,4,4,4,1.0,1.0,1.0
n012,2,0.16666666666666666,1,1,0,0.25,0.25,0.0
n013,12,1.0,4,4,4,1.0,1.0,1.0
n014,8,0.6666666666666666,2,2,4,0.5,0.5,1.0
n015,12,1.0,4,4,4,1.0,1.0,1.0
n016,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
n017,10,0.8333333333333334,4,2,4,1.0,0.5,1.0
n018,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
n019,2,0.16666666666666666,1,1,0,0.25,0.25,0.0
n020,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
n021,12,1.0,4,4,4,1.0,1.0,1.0
n022,12,1.0,4,4,4,1.0,1.0,1.0
n023,9,0.75,3,2,4,0.75,0.5,1.0
n024,8,0.6666666666666666,2,3,3,0.5,0.75,0.75
n025,7,0.5833333333333334,2,2,3,0.5,0.5,0.75
n026,10,0.8333333333333334,4,2,4,1.0,0.5,1.0
n027,8,0.6666666666666666,2,3,3,0.5,0.75,0.75
n028,11,0.9166666666666666,4,4,3,1.0,1.0,0.75
n029,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
n030,12,1.0,4,4,4,1.0,1.0,1.0
n032,6,0.5,2,1,3,0.5,0.25,0.75
n033,12,1.0,4,4,4,1.0,1.0,1.0
n034,12,1.0,4,4,4,1.0,1.0,1.0
n035,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
n036,10,0.8333333333333334,4,2,4,1.0,0.5,1.0
n037,9,0.75,3,3,3,0.75,0.75,0.75
n038,9,0.75,4,1,4,1.0,0.25,1.0
n039,8,0.6666666666666666,3,1,4,0.75,0.25,1.0
n040,8,0.6666666666666666,2,3,3,0.5,0.75,0.75
n041,6,0.5,2,1,3,0.5,0.25,0.75
n042,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
n043,12,1.0,4,4,4,1.0,1.0,1.0
n044,9,0.75,4,1,4,1.0,0.25,1.0
n045,12,1.0,4,4,4,1.0,1.0,1.0
n046,9,0.75,3,3,3,0.75,0.75,0.75
n047,10,0.8333333333333334,4,2,4,1.0,0.5,1.0
n048,8,0.6666666666666666,2,2,4,0.5,0.5,1.0
n049,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
n050,12,1.0,4,4,4,1.0,1.0,1.0
n051,12,1.0,4,4,4,1.0,1.0,1.0
n052,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
n053,12,1.0,4,4,4,1.0,1.0,1.0
n054,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
n055,10,0.8333333333333334,4,3,3,1.0,0.75,0.75
n056,5,0.4166666666666667,1,2,2,0.25,0.5,0.5
n057,12,1.0,4,4,4,1.0,1.0,1.0
n058,5,0.4166666666666667,2,1,2,0.5,0.25,0.5
n059,10,0.8333333333333334,3,4,3,0.75,1.0,0.75
n060,12,1.0,4,4,4,1.0,1.0,1.0
n061,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
n062,9,0.75,3,2,4,0.75,0.5,1.0
n063,9,0.75,4,1,4,1.0,0.25,1.0
n064,9,0.75,3,3,3,0.75,0.75,0.75
n065,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
n066,10,0.8333333333333334,4,2,4,1.0,0.5,1.0
n067,7,0.5833333333333334,3,1,3,0.75,0.25,0.75
n068,12,1.0,4,4,4,1.0,1.0,1.0
n069,12,1.0,4,4,4,1.0,1.0,1.0
n070,10,0.8333333333333334,3,3,4,0.75,0.75,1.0
n071,3,0.25,1,1,1,0.25,0.25,0.25
n072,12,1.0,4,4,4,1.0,1.0,1.0
n073,8,0.6666666666666666,2,3,3,0.5,0.75,0.75
n074,12,1.0,4,4,4,1.0,1.0,1.0
n075,12,1.0,4,4,4,1.0,1.0,1.0
n076,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
n077,9,0.75,3,2,4,0.75,0.5,1.0
n078,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
n079,12,1.0,4,4,4,1.0,1.0,1.0
n080,12,1.0,4,4,4,1.0,1.0,1.0
n081,10,0.8333333333333334,4,4,2,1.0,1.0,0.5
n082,12,1.0,4,4,4,1.0,1.0,1.0
n083,10,0.8333333333333334,3,4,3,0.75,1.0,0.75
n084,12,1.0,4,4,4,1.0,1.0,1.0
n085,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
n086,12,1.0,4,4,4,1.0,1.0,1.0
n087,12,1.0,4,4,4,1.0,1.0,1.0
n088,8,0.6666666666666666,4,0,4,1.0,0.0,1.0
n089,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
n090,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
n091,10,0.8333333333333334,3,4,3,0.75,1.0,0.75
n092,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
n093,12,1.0,4,4,4,1.0,1.0,1.0
n094,6,0.5,3,3,0,0.75,0.75,0.0
n095,7,0.5833333333333334,2,1,4,0.5,0.25,1.0
n096,9,0.75,4,1,4,1.0,0.25,1.0
n097,8,0.6666666666666666,2,2,4,0.5,0.5,1.0
n098,12,1.0,4,4,4,1.0,1.0,1.0
n099,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
n100,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
n101,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
n102,12,1.0,4,4,4,1.0,1.0,1.0
n103,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
n104,9,0.75,3,2,4,0.75,0.5,1.0
n105,12,1.0,4,4,4,1.0,1.0,1.0
n106,10,0.8333333333333334,4,2,4,1.0,0.5,1.0
n107,12,1.0,4,4,4,1.0,1.0,1.0
n108,10,0.8333333333333334,3,3,4,0.75,0.75,1.0
n109,6,0.5,2,1,3,0.5,0.25,0.75
n110,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
n111,9,0.75,4,1,4,1.0,0.25,1.0
n112,8,0.6666666666666666,4,0,4,1.0,0.0,1.0
n113,9,0.75,3,2,4,0.75,0.5,1.0
n114,12,1.0,4,4,4,1.0,1.0,1.0
n115,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
n116,12,1.0,4,4,4,1.0,1.0,1.0
n117,10,0.8333333333333334,4,2,4,1.0,0.5,1.0
n118,7,0.5833333333333334,3,1,3,0.75,0.25,0.75
n119,10,0.8333333333333334,4,2,4,1.0,0.5,1.0
n120,12,1.0,4,4,4,1.0,1.0,1.0
n121,8,0.6666666666666666,3,2,3,0.75,0.5,0.75
n122,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
n123,9,0.75,3,2,4,0.75,0.5,1.0
n124,10,0.8333333333333334,4,2,4,1.0,0.5,1.0
n125,12,1.0,4,4,4,1.0,1.0,1.0
n126,12,1.0,4,4,4,1.0,1.0,1.0
n127,9,0.75,4,2,3,1.0,0.5,0.75
n128,12,1.0,4,4,4,1.0,1.0,1.0
n129,8,0.6666666666666666,3,2,3,0.75,0.5,0.75
n130,4,0.3333333333333333,3,0,1,0.75,0.0,0.25
n131,12,1.0,4,4,4,1.0,1.0,1.0
n132,12,1.0,4,4,4,1.0,1.0,1.0
n133,12,1.0,4,4,4,1.0,1.0,1.0
n134,12,1.0,4,4,4,1.0,1.0,1.0
n135,12,1.0,4,4,4,1.0,1.0,1.0
n136,12,1.0,4,4,4,1.0,1.0,1.0
n137,12,1.0,4,4,4,1.0,1.0,1.0
n138,12,1.0,4,4,4,1.0,1.0,1.0
n139,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
n140,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
n141,4,0.3333333333333333,1,1,2,0.25,0.25,0.5
n142,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
n143,10,0.8333333333333334,3,4,3,0.75,1.0,0.75
n144,12,1.0,4,4,4,1.0,1.0,1.0
n145,12,1.0,4,4,4,1.0,1.0,1.0
n146,12,1.0,4,4,4,1.0,1.0,1.0
n147,7,0.5833333333333334,4,0,3,1.0,0.0,0.75
n148,12,1.0,4,4,4,1.0,1.0,1.0
n149,9,0.75,4,2,3,1.0,0.5,0.75
n150,10,0.8333333333333334,4,2,4,1.0,0.5,1.0
n151,12,1.0,4,4,4,1.0,1.0,1.0
n152,12,1.0,4,4,4,1.0,1.0,1.0
n153,10,0.8333333333333334,3,3,4,0.75,0.75,1.0
n154,12,1.0,4,4,4,1.0,1.0,1.0
n155,12,1.0,4,4,4,1.0,1.0,1.0
n156,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
n157,12,1.0,4,4,4,1.0,1.0,1.0
n158,12,1.0,4,4,4,1.0,1.0,1.0
n159,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
n160,9,0.75,4,1,4,1.0,0.25,1.0
n161,12,1.0,4,4,4,1.0,1.0,1.0
n162,11,0.9166666666666666,4,3,4,1.0,0.75,1.0
n163,7,0.5833333333333334,3,1,3,0.75,0.25,0.75
n164,12,1.0,4,4,4,1.0,1.0,1.0
n165,10,0.8333333333333334,4,2,4,1.0,0.5,1.0
n166,12,1.0,4,4,4,1.0,1.0,1.0
n167,12,1.0,4,4,4,1.0,1.0,1.0
n168,9,0.75,3,2,4,0.75,0.5,1.0
n170,12,1.0,4,4,4,1.0,1.0,1.0
n171,12,1.0,4,4,4,1.0,1.0,1.0
n172,7,0.5833333333333334,3,2,2,0.75,0.5,0.5
