variants=11 models=2 questions=10 => 220 calls | workbook=hard10-flat-A.xlsx
  - baseline   mode=strict_json version=exp5_baseline
  - v01        mode=strict_json version=exp5_v01
  - v02        mode=strict_json version=exp5_v02
  - v03        mode=strict_json version=exp5_v03
  - v04        mode=cot_json    version=exp5_v04
  - v05        mode=cot_json    version=exp5_v05
  - v06        mode=cot_json    version=exp5_v06
  - v07        mode=cot_json    version=exp5_v07
  - v08        mode=cot_json    version=exp5_v08
  - v09        mode=cot_json    version=exp5_v09
  - v10        mode=cot_json    version=exp5_v10
[132/220] v06        gemma  q=b221  b/c ✗
[133/220] v07        qwen   q=b370  b/b ✓
[134/220] v07        qwen   q=b455  d/d ✓
[135/220] v06        qwen   q=r010  b/b ✓
[136/220] v06        qwen   q=b284  c/c ✓
[137/220] v05        qwen   q=b221  c/c ✓
[138/220] v06        qwen   q=b370  request_error
[139/220] v07        qwen   q=n111  b/b ✓
[140/220] v07        qwen   q=n088  b/b ✓
[141/220] v07        qwen   q=b170  b/d ✗
[142/220] v07        qwen   q=b184  d/d ✓
[143/220] v07        gemma  q=b455  b/d ✗
[144/220] v07        gemma  q=b370  b/b ✓
[145/220] v07        gemma  q=n088  b/b ✓
[146/220] v07        qwen   q=b221  c/c ✓
[147/220] v07        gemma  q=b170  d/d ✓
[148/220] v07        gemma  q=b184  d/d ✓
[149/220] v07        gemma  q=b470  d/b ✗
[150/220] v07        gemma  q=n111  a/b ✗
[151/220] v07        qwen   q=b470  c/b ✗
[152/220] v07        gemma  q=r010  b/b ✓
[153/220] v07        gemma  q=b284  c/c ✓
[154/220] v05        qwen   q=b184  timeout
[155/220] v06        qwen   q=b184  timeout
[156/220] v06        qwen   q=b170  timeout
[157/220] v06        qwen   q=n088  timeout
[158/220] v07        qwen   q=r010  b/b ✓
[159/220] v07        gemma  q=b221  a/c ✗
[160/220] v08        qwen   q=b470  d/b ✗
[161/220] v07        qwen   q=b284  c/c ✓
[162/220] v08        qwen   q=b455  d/d ✓
[163/220] v08        gemma  q=b370  b/b ✓
[164/220] v08        gemma  q=n088  b/b ✓
[165/220] v08        qwen   q=r010  b/b ✓
[166/220] v08        gemma  q=b455  b/d ✗
[167/220] v08        qwen   q=n111  b/b ✓
[168/220] v08        qwen   q=b284  c/c ✓
[169/220] v08        gemma  q=b470  d/b ✗
[170/220] v08        gemma  q=n111  a/b ✗
[171/220] v08        gemma  q=b170  c/d ✗
[172/220] v08        gemma  q=r010  b/b ✓
[173/220] v08        gemma  q=b284  a/c ✗
[174/220] v08        qwen   q=b370  b/b ✓
[175/220] v08        qwen   q=b221  c/c ✓
[176/220] v08        gemma  q=b221  b/c ✗
[177/220] v08        gemma  q=b184  c/d ✗
[178/220] v08        qwen   q=b184  d/d ✓
[179/220] v08        qwen   q=n088  b/b ✓
[180/220] v09        qwen   q=n111  b/b ✓
[181/220] v09        qwen   q=b455  b/d ✗
[182/220] v09        qwen   q=b370  b/b ✓
[183/220] v09        qwen   q=n088  b/b ✓
[184/220] v09        gemma  q=b370  b/b ✓
[185/220] v09        gemma  q=b455  b/d ✗
[186/220] v09        gemma  q=n088  b/b ✓
[187/220] v09        gemma  q=b170  d/d ✓
[188/220] v09        qwen   q=b170  c/d ✗
[189/220] v09        gemma  q=b470  d/b ✗
[190/220] v09        gemma  q=b184  d/d ✓
[191/220] v08        qwen   q=b170  b/d ✗
[192/220] v09        gemma  q=n111  a/b ✗
[193/220] v09        qwen   q=r010  b/b ✓
[194/220] v09        gemma  q=b221  b/c ✗
[195/220] v09        gemma  q=b284  d/c ✗
[196/220] v09        gemma  q=r010  b/b ✓
[197/220] v09        qwen   q=b184  d/d ✓
[198/220] v09        qwen   q=b284  c/c ✓
[199/220] v09        qwen   q=b221  c/c ✓
[200/220] v09        qwen   q=b470  d/b ✗
[201/220] v10        qwen   q=b470  d/b ✗
[202/220] v10        qwen   q=b370  b/b ✓
[203/220] v10        gemma  q=b455  d/d ✓
[204/220] v10        qwen   q=b170  b/d ✗
[205/220] v10        qwen   q=r010  b/b ✓
[206/220] v10        gemma  q=b370  b/b ✓
[207/220] v10        gemma  q=n088  b/b ✓
[208/220] v10        gemma  q=b470  d/b ✗
[209/220] v10        gemma  q=b170  d/d ✓
[210/220] v10        qwen   q=n111  b/b ✓
[211/220] v10        qwen   q=b455  d/d ✓
[212/220] v10        gemma  q=n111  b/b ✓
[213/220] v10        gemma  q=b221  a/c ✗
[214/220] v10        gemma  q=r010  b/b ✓
[215/220] v10        gemma  q=b284  a/c ✗
[216/220] v10        gemma  q=b184  c/d ✗
[217/220] v10        qwen   q=b184  d/d ✓
[218/220] v10        qwen   q=n088  b/b ✓
[219/220] v10        qwen   q=b284  c/c ✓
[220/220] v10        qwen   q=b221  c/c ✓

==================== RESULTS (strict accuracy) ====================
variant     mode            qwen    gemma   overall   Δbase
-----------------------------------------------------------
baseline    strict_json    80.0%    60.0%     70.0%    +0.0
v01         strict_json    70.0%    60.0%     65.0%    -5.0
v02         strict_json    80.0%    60.0%     70.0%    +0.0
v03         strict_json    80.0%    60.0%     70.0%    +0.0
v04         cot_json       60.0%    40.0%     50.0%   -20.0
v05         cot_json       77.8%    40.0%     57.9%   -12.1
v06         cot_json       66.7%    30.0%     43.8%   -26.2
v07         cot_json       80.0%    60.0%     70.0%    +0.0
v08         cot_json       80.0%    30.0%     55.0%   -15.0
v09         cot_json       70.0%    50.0%     60.0%   -10.0
v10         cot_json       80.0%    60.0%     70.0%    +0.0

wrote comparison.csv, summary.json, per-variant jsonl, and appended experiment-log.*
