variants=11 models=2 questions=10 => 220 calls | workbook=hard10-flat-B.xlsx
  - baseline   mode=strict_json version=exp5_baseline
  - v01        mode=strict_json version=exp5_v01
  - v02        mode=strict_json version=exp5_v02
  - v03        mode=strict_json version=exp5_v03
  - v04        mode=cot_json    version=exp5_v04
  - v05        mode=cot_json    version=exp5_v05
  - v06        mode=cot_json    version=exp5_v06
  - v07        mode=cot_json    version=exp5_v07
  - v08        mode=cot_json    version=exp5_v08
  - v09        mode=cot_json    version=exp5_v09
  - v10        mode=cot_json    version=exp5_v10
[66/220] v03        gemma  q=b170  d/d ✓
[67/220] v03        gemma  q=b470  d/b ✗
[68/220] v03        gemma  q=n111  a/b ✗
[69/220] v03        gemma  q=b184  c/d ✗
[70/220] v03        gemma  q=r010  c/b ✗
[71/220] v03        gemma  q=b284  c/c ✓
[72/220] v03        qwen   q=b170  b/d ✗
[73/220] v03        gemma  q=b221  c/c ✓
[74/220] v03        qwen   q=r010  c/b ✗
[75/220] v03        qwen   q=b184  c/d ✗
[76/220] v03        qwen   q=n111  a/b ✗
[77/220] v03        qwen   q=b470  d/b ✗
[78/220] v04        qwen   q=b455  b/d ✗
[79/220] v03        qwen   q=b221  c/c ✓
[80/220] v03        qwen   q=b284  d/c ✗
[81/220] v04        qwen   q=b470  c/b ✗
[82/220] v04        qwen   q=n111  a/b ✗
[83/220] v04        qwen   q=b170  b/d ✗
[84/220] v04        gemma  q=b370  d/b ✗
[85/220] v04        gemma  q=b455  b/d ✗
[86/220] v04        gemma  q=n088  d/b ✗
[87/220] v02        qwen   q=b221  b/c ✗
[88/220] v04        gemma  q=b470  d/b ✗
[89/220] v04        gemma  q=b170  c/d ✗
[90/220] v04        qwen   q=b184  a/d ✗
[91/220] v04        gemma  q=n111  a/b ✗
[92/220] v04        gemma  q=b284  c/c ✓
[93/220] v04        gemma  q=r010  c/b ✗
[94/220] v04        gemma  q=b184  c/d ✗
[95/220] v04        qwen   q=n088  b/b ✓
[96/220] v04        gemma  q=b221  a/c ✗
[97/220] v04        qwen   q=b370  d/b ✗
[98/220] v04        qwen   q=b284  d/c ✗
[99/220] v04        qwen   q=r010  c/b ✗
[100/220] v04        qwen   q=b221  b/c ✗
[101/220] v05        qwen   q=b455  b/d ✗
[102/220] v05        qwen   q=n088  b/b ✓
[103/220] v05        qwen   q=b470  d/b ✗
[104/220] v05        gemma  q=b370  b/b ✓
[105/220] v05        gemma  q=b455  b/d ✗
[106/220] v05        qwen   q=b170  b/d ✗
[107/220] v05        qwen   q=b370  d/b ✗
[108/220] v05        gemma  q=n088  a/b ✗
[109/220] v05        qwen   q=n111  a/b ✗
[110/220] v05        gemma  q=b470  d/b ✗
[111/220] v05        gemma  q=n111  a/b ✗
[112/220] v05        gemma  q=b170  d/d ✓
[113/220] v05        gemma  q=r010  c/b ✗
[114/220] v05        gemma  q=b284  c/c ✓
[115/220] v05        gemma  q=b221  b/c ✗
[116/220] v05        gemma  q=b184  c/d ✗
[117/220] v05        qwen   q=r010  c/b ✗
[118/220] v05        qwen   q=b184  c/d ✗
[119/220] v05        qwen   q=b284  c/c ✓
[120/220] v06        qwen   q=b455  b/d ✗
[121/220] v06        qwen   q=n111  a/b ✗
[122/220] v06        qwen   q=b170  b/d ✗
[123/220] v06        qwen   q=n088  d/b ✗
[124/220] v06        gemma  q=b370  d/b ✗
[125/220] v06        gemma  q=b455  b/d ✗
[126/220] v06        qwen   q=b470  d/b ✗
[127/220] v06        gemma  q=b470  d/b ✗
[128/220] v06        gemma  q=b170  c/d ✗
[129/220] v06        gemma  q=n088  d/b ✗
[130/220] v06        gemma  q=n111  a/b ✗
[131/220] v05        qwen   q=b221  b/c ✗
[132/220] v06        gemma  q=r010  c/b ✗
[133/220] v06        qwen   q=b370  d/b ✗
[134/220] v06        gemma  q=b184  c/d ✗
[135/220] v06        gemma  q=b284  c/c ✓
[136/220] v06        gemma  q=b221  b/c ✗
[137/220] v06        qwen   q=r010  c/b ✗
[138/220] v06        qwen   q=b284  d/c ✗
[139/220] v06        qwen   q=b184  c/d ✗
[140/220] v06        qwen   q=b221  b/c ✗
[141/220] v07        qwen   q=b455  b/d ✗
[142/220] v07        qwen   q=r010  c/b ✗
[143/220] v07        qwen   q=b470  c/b ✗
[144/220] v07        gemma  q=b455  b/d ✗
[145/220] v07        qwen   q=n088  d/b ✗
[146/220] v07        qwen   q=b170  b/d ✗
[147/220] v07        qwen   q=n111  a/b ✗
[148/220] v07        gemma  q=n088  d/b ✗
[149/220] v07        gemma  q=b470  d/b ✗
[150/220] v07        gemma  q=n111  a/b ✗
[151/220] v07        gemma  q=b370  d/b ✗
[152/220] v07        gemma  q=b184  c/d ✗
[153/220] v07        gemma  q=b284  a/c ✗
[154/220] v07        gemma  q=b170  c/d ✗
[155/220] v07        gemma  q=r010  c/b ✗
[156/220] v07        qwen   q=b184  a/d ✗
[157/220] v07        qwen   q=b284  d/c ✗
[158/220] v07        qwen   q=b370  a/b ✗
[159/220] v07        gemma  q=b221  c/c ✓
[160/220] v07        qwen   q=b221  b/c ✗
[161/220] v08        qwen   q=b470  d/b ✗
[162/220] v08        qwen   q=n088  b/b ✓
[163/220] v08        qwen   q=n111  a/b ✗
[164/220] v08        qwen   q=b455  d/d ✓
[165/220] v08        gemma  q=n088  d/b ✗
[166/220] v08        gemma  q=b455  b/d ✗
[167/220] v08        gemma  q=b370  d/b ✗
[168/220] v08        gemma  q=b470  d/b ✗
[169/220] v08        qwen   q=b170  c/d ✗
[170/220] v08        gemma  q=n111  a/b ✗
[171/220] v08        gemma  q=b284  a/c ✗
[172/220] v08        gemma  q=b184  c/d ✗
[173/220] v08        gemma  q=r010  c/b ✗
[174/220] v08        gemma  q=b170  d/d ✓
[175/220] v08        qwen   q=r010  b/b ✓
[176/220] v08        gemma  q=b221  b/c ✗
[177/220] v08        qwen   q=b370  a/b ✗
[178/220] v08        qwen   q=b184  a/d ✗
[179/220] v09        qwen   q=b455  b/d ✗
[180/220] v08        qwen   q=b284  d/c ✗
[181/220] v09        qwen   q=b370  d/b ✗
[182/220] v09        gemma  q=b370  a/b ✗
[183/220] v09        qwen   q=b470  c/b ✗
[184/220] v09        gemma  q=b455  b/d ✗
[185/220] v09        qwen   q=n088  d/b ✗
[186/220] v09        gemma  q=b170  b/d ✗
[187/220] v09        qwen   q=b170  b/d ✗
[188/220] v09        qwen   q=n111  a/b ✗
[189/220] v09        gemma  q=n111  a/b ✗
[190/220] v09        gemma  q=n088  d/b ✗
[191/220] v08        qwen   q=b221  b/c ✗
[192/220] v09        gemma  q=b284  c/c ✓
[193/220] v09        gemma  q=b184  d/d ✓
[194/220] v09        gemma  q=b470  d/b ✗
[195/220] v09        qwen   q=b184  a/d ✗
[196/220] v09        gemma  q=r010  c/b ✗
[197/220] v09        gemma  q=b221  a/c ✗
[198/220] v09        qwen   q=r010  b/b ✓
[199/220] v09        qwen   q=b284  d/c ✗
[200/220] v10        qwen   q=b455  b/d ✗
[201/220] v10        qwen   q=b470  d/b ✗
[202/220] v10        gemma  q=b370  a/b ✗
[203/220] v10        qwen   q=b370  d/b ✗
[204/220] v10        qwen   q=n111  a/b ✗
[205/220] v10        qwen   q=r010  c/b ✗
[206/220] v10        gemma  q=b455  b/d ✗
[207/220] v10        gemma  q=n088  d/b ✗
[208/220] v10        qwen   q=n088  d/b ✗
[209/220] v09        qwen   q=b221  b/c ✗
[210/220] v10        qwen   q=b170  b/d ✗
[211/220] v10        gemma  q=b470  d/b ✗
[212/220] v10        gemma  q=n111  a/b ✗
[213/220] v10        gemma  q=b170  d/d ✓
[214/220] v10        gemma  q=b184  a/d ✗
[215/220] v10        gemma  q=r010  c/b ✗
[216/220] v10        gemma  q=b284  c/c ✓
[217/220] v10        gemma  q=b221  c/c ✓
[218/220] v10        qwen   q=b284  d/c ✗
[219/220] v10        qwen   q=b184  c/d ✗
[220/220] v10        qwen   q=b221  b/c ✗

==================== RESULTS (strict accuracy) ====================
variant     mode            qwen    gemma   overall   Δbase
-----------------------------------------------------------
baseline    strict_json     0.0%    10.0%      5.0%    +0.0
v01         strict_json    10.0%     0.0%      5.0%    +0.0
v02         strict_json     0.0%    10.0%      5.0%    +0.0
v03         strict_json    10.0%    30.0%     20.0%   +15.0
v04         cot_json       10.0%    10.0%     10.0%    +5.0
v05         cot_json       20.0%    30.0%     25.0%   +20.0
v06         cot_json        0.0%    10.0%      5.0%    +0.0
v07         cot_json        0.0%    10.0%      5.0%    +0.0
v08         cot_json       30.0%    10.0%     20.0%   +15.0
v09         cot_json       10.0%    20.0%     15.0%   +10.0
v10         cot_json        0.0%    30.0%     15.0%   +10.0

wrote comparison.csv, summary.json, per-variant jsonl, and appended experiment-log.*
