invocation_id,arm,condition,model,dataset,experiment_id,target_count,concurrency,start_time_utc,end_time_utc,status,scored_count,failure_count,stop_reason,not_started,skipped_already_scored,upstream_override,deviation,redacted_command,log_path,notes
or-b-gemini-r2-r3-resume1,openrouter_B,B,google/gemini-3.6-flash,ab520_adjusted_B_replication,ab520_incorrect_triplicates_or_B_20260805,100,2,2026-08-05T16:50:54Z,2026-08-05T16:50:55Z,aborted_rate_limit_or_circuit_open,0,2,rate_limit_or_circuit_open,98,0,,FALSE,uv run python execute_replicates.py --arm openrouter_B --model google/gemini-3.6-flash --max-concurrency 2 --execute --invocation-id or-b-gemini-r2-r3-resume1 --db [REDACTED_PATH],logs/or-b-gemini-r2-r3-resume1.jsonl,"Resume attempt at reduced concurrency 2; aborted after 2 calls, both rate-limited. 98 cells left not-started."
ts-a-gemini-probe-b22-r2,tailscale_A,A,google/gemini-3.6-flash,ab520_adjusted_A_replication,ab520_incorrect_triplicates_ts_A_20260805,1,1,2026-08-05T16:51:40Z,2026-08-05T16:52:06Z,completed,1,0,,0,0,,FALSE,uv run python execute_replicates.py --arm tailscale_A --model google/gemini-3.6-flash --max-concurrency 1 --execute --invocation-id ts-a-gemini-probe-b22-r2 --db [REDACTED_PATH],logs/ts-a-gemini-probe-b22-r2.jsonl,Single-cell probe/warm-up before the tailscale_A gemini batch; completed.
ts-a-gemini-r2-r3-run1,tailscale_A,A,google/gemini-3.6-flash,ab520_adjusted_A_replication,ab520_incorrect_triplicates_ts_A_20260805,26,5,2026-08-05T16:52:12Z,2026-08-05T16:54:30Z,completed,25,0,,0,1,,FALSE,uv run python execute_replicates.py --arm tailscale_A --model google/gemini-3.6-flash --max-concurrency 5 --execute --invocation-id ts-a-gemini-r2-r3-run1 --db [REDACTED_PATH],logs/ts-a-gemini-r2-r3-run1.jsonl,"tailscale_A gemini, completed; 1 cell skipped as already scored by the preceding probe."
ts-a-gemma-r2-r3-run1,tailscale_A,A,google/gemma-4-26b-a4b-it,ab520_adjusted_A_replication,ab520_incorrect_triplicates_ts_A_20260805,162,5,2026-08-05T16:54:36Z,2026-08-05T17:06:08Z,aborted_three_consecutive_transport_failures,103,7,three_consecutive_transport_failures,52,0,,FALSE,uv run python execute_replicates.py --arm tailscale_A --model google/gemma-4-26b-a4b-it --max-concurrency 5 --execute --invocation-id ts-a-gemma-r2-r3-run1 --db [REDACTED_PATH],logs/ts-a-gemma-r2-r3-run1.jsonl,"tailscale_A gemma at concurrency 5; aborted after three_consecutive_transport_failures having scored 103/162. Confirms concurrency finding: TailScale backend fails under request rate, not on particular questions. Remainder resumed in ts-a-gemma-r2-r3-run2 at concurrency 2."
ts-a-gemma-probe-b61-r3-retry1,tailscale_A,A,google/gemma-4-26b-a4b-it,ab520_adjusted_A_replication,ab520_incorrect_triplicates_ts_A_20260805,1,1,2026-08-05T17:10:18Z,2026-08-05T17:11:14Z,completed,1,0,,0,0,,FALSE,uv run python execute_replicates.py --arm tailscale_A --model google/gemma-4-26b-a4b-it --max-concurrency 1 --execute --invocation-id ts-a-gemma-probe-b61-r3-retry1 --db [REDACTED_PATH],logs/ts-a-gemma-probe-b61-r3-retry1.jsonl,"Single-cell retry of a previously-failed tailscale_A gemma cell (b61, run 3); completed."
or-b-gemini-probe-b101-r2-20260806,openrouter_B,B,google/gemini-3.6-flash,ab520_adjusted_B_replication,ab520_incorrect_triplicates_or_B_20260805,1,1,2026-08-06T09:21:09Z,2026-08-06T09:21:09Z,aborted_rate_limit_or_circuit_open,0,1,rate_limit_or_circuit_open,0,0,,FALSE,uv run python execute_replicates.py --arm openrouter_B --model google/gemini-3.6-flash --max-concurrency 1 --execute --invocation-id or-b-gemini-probe-b101-r2-20260806 --db [REDACTED_PATH],logs/or-b-gemini-probe-b101-r2-20260806.jsonl,Single-cell pool-availability probe next day (2026-08-06); aborted on rate_limit_or_circuit_open.
ts-a-qwen-r2-r3-run1,tailscale_A,A,qwen/qwen3.6-35b-a3b,ab520_adjusted_A_replication,ab520_incorrect_triplicates_ts_A_20260805,98,3,2026-08-06T09:21:37Z,2026-08-06T09:45:42Z,completed_with_unresolved,97,1,,0,0,,FALSE,uv run python execute_replicates.py --arm tailscale_A --model qwen/qwen3.6-35b-a3b --max-concurrency 3 --execute --invocation-id ts-a-qwen-r2-r3-run1 --db [REDACTED_PATH],logs/ts-a-qwen-r2-r3-run1.jsonl,"tailscale_A qwen at concurrency 3; completed_with_unresolved, 97/98 scored, 1 failure."
ts-a-glm-r2-r3-run1,tailscale_A,A,z-ai/glm-5.2,ab520_adjusted_A_replication,ab520_incorrect_triplicates_ts_A_20260805,40,3,2026-08-06T09:45:56Z,2026-08-06T09:57:59Z,completed_with_unresolved,34,6,,0,0,,FALSE,uv run python execute_replicates.py --arm tailscale_A --model z-ai/glm-5.2 --max-concurrency 3 --execute --invocation-id ts-a-glm-r2-r3-run1 --db [REDACTED_PATH],logs/ts-a-glm-r2-r3-run1.jsonl,tailscale_A glm at concurrency 3; completed with 6 unresolved failures out of 40 executed (status completed_with_unresolved).
ts-a-gemma-r2-r3-run2,tailscale_A,A,google/gemma-4-26b-a4b-it,ab520_adjusted_A_replication,ab520_incorrect_triplicates_ts_A_20260805,162,2,2026-08-06T09:58:17Z,2026-08-06T10:10:26Z,completed,58,0,,0,104,,FALSE,uv run python execute_replicates.py --arm tailscale_A --model google/gemma-4-26b-a4b-it --max-concurrency 2 --execute --invocation-id ts-a-gemma-r2-r3-run2 --db [REDACTED_PATH],logs/ts-a-gemma-r2-r3-run2.jsonl,"Resume of the aborted gemma batch at reduced concurrency 2; completed all remaining 58 cells with zero failures, confirming concurrency 2-3 as the recommended bound for the TailScale backend."
ts-a-glm-r2-r3-retry1,tailscale_A,A,z-ai/glm-5.2,ab520_adjusted_A_replication,ab520_incorrect_triplicates_ts_A_20260805,40,2,2026-08-06T10:11:07Z,2026-08-06T10:15:06Z,completed_with_unresolved,4,2,,0,34,,FALSE,uv run python execute_replicates.py --arm tailscale_A --model z-ai/glm-5.2 --max-concurrency 2 --execute --invocation-id ts-a-glm-r2-r3-retry1 --db [REDACTED_PATH],logs/ts-a-glm-r2-r3-retry1.jsonl,"Retry pass over the 6 unresolved glm cells at concurrency 2; recovered 4 of 6, 2 still failing (status completed_with_unresolved)."
ts-a-qwen-r2-r3-retry1,tailscale_A,A,qwen/qwen3.6-35b-a3b,ab520_adjusted_A_replication,ab520_incorrect_triplicates_ts_A_20260805,98,2,2026-08-06T10:15:06Z,2026-08-06T10:15:55Z,completed,1,0,,0,97,,FALSE,uv run python execute_replicates.py --arm tailscale_A --model qwen/qwen3.6-35b-a3b --max-concurrency 2 --execute --invocation-id ts-a-qwen-r2-r3-retry1 --db [REDACTED_PATH],logs/ts-a-qwen-r2-r3-retry1.jsonl,Retry of the single unresolved qwen cell; recovered successfully (1/1 scored). 97 cells skipped as already scored.
ts-a-glm-probe-b264-retry2,tailscale_A,A,z-ai/glm-5.2,ab520_adjusted_A_replication,ab520_incorrect_triplicates_ts_A_20260805,2,1,2026-08-06T10:16:19Z,2026-08-06T10:19:35Z,completed_with_unresolved,1,1,,0,0,,FALSE,uv run python execute_replicates.py --arm tailscale_A --model z-ai/glm-5.2 --max-concurrency 1 --execute --invocation-id ts-a-glm-probe-b264-retry2 --db [REDACTED_PATH],logs/ts-a-glm-probe-b264-retry2.jsonl,"Single-cell probe/retry pair targeting the last 2 unresolved glm cells; 1 of 2 scored, question b264 run 2 failed (status completed_with_unresolved)."
ts-a-glm-probe-b264-retry3,tailscale_A,A,z-ai/glm-5.2,ab520_adjusted_A_replication,ab520_incorrect_triplicates_ts_A_20260805,1,1,2026-08-06T10:19:48Z,2026-08-06T10:22:19Z,completed_with_unresolved,0,1,,0,0,,FALSE,uv run python execute_replicates.py --arm tailscale_A --model z-ai/glm-5.2 --max-concurrency 1 --execute --invocation-id ts-a-glm-probe-b264-retry3 --db [REDACTED_PATH],logs/ts-a-glm-probe-b264-retry3.jsonl,"Further retry of b264 run 2 alone; failed again (status completed_with_unresolved, 0 scored)."
or-b-gemini-probe-b101-r2-retry2,openrouter_B,B,google/gemini-3.6-flash,ab520_adjusted_B_replication,ab520_incorrect_triplicates_or_B_20260805,1,1,2026-08-06T10:29:01Z,2026-08-06T10:29:03Z,aborted_rate_limit_or_circuit_open,0,1,rate_limit_or_circuit_open,0,0,,FALSE,uv run python execute_replicates.py --arm openrouter_B --model google/gemini-3.6-flash --max-concurrency 1 --execute --invocation-id or-b-gemini-probe-b101-r2-retry2 --db [REDACTED_PATH],logs/or-b-gemini-probe-b101-r2-retry2.jsonl,Repeat single-cell pool-availability probe; aborted on rate_limit_or_circuit_open.
ts-a-glm-probe-b264-retry4,tailscale_A,A,z-ai/glm-5.2,ab520_adjusted_A_replication,ab520_incorrect_triplicates_ts_A_20260805,1,1,2026-08-06T10:29:56Z,2026-08-06T10:32:27Z,completed_with_unresolved,0,1,,0,0,,FALSE,uv run python execute_replicates.py --arm tailscale_A --model z-ai/glm-5.2 --max-concurrency 1 --execute --invocation-id ts-a-glm-probe-b264-retry4 --db [REDACTED_PATH],logs/ts-a-glm-probe-b264-retry4.jsonl,"Further retry of b264 run 2 alone; failed again with 500 errors, four hanging ~150.1-150.2s per STATUS.md. This cell (tailscale_A/glm/b264/r2) is the one tailscale_A cell left unrecoverable at the 5-attempt ceiling."
or-b-gemini-r2-r3-resume2,openrouter_B,B,google/gemini-3.6-flash,ab520_adjusted_B_replication,ab520_incorrect_triplicates_or_B_20260805,100,2,2026-08-06T10:32:01Z,2026-08-06T10:32:02Z,aborted_rate_limit_or_circuit_open,0,2,rate_limit_or_circuit_open,98,0,,FALSE,uv run python execute_replicates.py --arm openrouter_B --model google/gemini-3.6-flash --max-concurrency 2 --execute --invocation-id or-b-gemini-r2-r3-resume2 --db [REDACTED_PATH],logs/or-b-gemini-r2-r3-resume2.jsonl,"Second resume attempt at concurrency 2; aborted after 2 calls, both rate-limited. 98 cells left not-started."
or-b-gemini-resume3-r1,openrouter_B,B,google/gemini-3.6-flash,ab520_adjusted_B_replication,ab520_incorrect_triplicates_or_B_20260805,100,2,2026-08-06T15:51:44Z,2026-08-06T15:51:58Z,aborted_rate_limit_or_circuit_open,2,1,rate_limit_or_circuit_open,95,0,,FALSE,uv run python execute_replicates.py --arm openrouter_B --model google/gemini-3.6-flash --max-concurrency 2 --execute --invocation-id or-b-gemini-resume3-r1 --db [REDACTED_PATH],logs/or-b-gemini-resume3-r1.jsonl,"Round 1 of 6 in the bounded resume loop against openrouter_B gemini (see STATUS.md 'Failed resume attempt'). Banked 2 scores; queue-head cell (andalucia|2021|cuestionario-practico|117, r2+r3) exhausted at 5 attempts before this round started, meaning it was already unrecoverable entering the loop."
or-b-gemini-resume3-r2,openrouter_B,B,google/gemini-3.6-flash,ab520_adjusted_B_replication,ab520_incorrect_triplicates_or_B_20260805,100,2,2026-08-06T15:51:58Z,2026-08-06T15:51:58Z,aborted_rate_limit_or_circuit_open,0,2,rate_limit_or_circuit_open,94,2,,FALSE,uv run python execute_replicates.py --arm openrouter_B --model google/gemini-3.6-flash --max-concurrency 2 --execute --invocation-id or-b-gemini-resume3-r2 --db [REDACTED_PATH],logs/or-b-gemini-resume3-r2.jsonl,"Round 2 of 6; the executor's fixed queue order re-attacked the same head cell each round, aborting before reaching new cells. +0 scores; one additional cell pushed toward exhaustion."
or-b-gemini-resume3-r3,openrouter_B,B,google/gemini-3.6-flash,ab520_adjusted_B_replication,ab520_incorrect_triplicates_or_B_20260805,100,2,2026-08-06T15:51:58Z,2026-08-06T15:51:59Z,aborted_rate_limit_or_circuit_open,0,2,rate_limit_or_circuit_open,93,2,,FALSE,uv run python execute_replicates.py --arm openrouter_B --model google/gemini-3.6-flash --max-concurrency 2 --execute --invocation-id or-b-gemini-resume3-r3 --db [REDACTED_PATH],logs/or-b-gemini-resume3-r3.jsonl,Round 3 of 6; same structural failure as rounds 2/4-6. +0 scores; a third cell (andalucia|2021|cuestionario-teorico|31) newly exhausted.
or-b-gemini-resume3-r4,openrouter_B,B,google/gemini-3.6-flash,ab520_adjusted_B_replication,ab520_incorrect_triplicates_or_B_20260805,100,2,2026-08-06T15:51:59Z,2026-08-06T15:51:59Z,aborted_rate_limit_or_circuit_open,0,2,rate_limit_or_circuit_open,92,2,,FALSE,uv run python execute_replicates.py --arm openrouter_B --model google/gemini-3.6-flash --max-concurrency 2 --execute --invocation-id or-b-gemini-resume3-r4 --db [REDACTED_PATH],logs/or-b-gemini-resume3-r4.jsonl,Round 4 of 6; +0 scores; cuestionario-practico|140 run 3 newly exhausted.
or-b-gemini-resume3-r5,openrouter_B,B,google/gemini-3.6-flash,ab520_adjusted_B_replication,ab520_incorrect_triplicates_or_B_20260805,100,2,2026-08-06T15:51:59Z,2026-08-06T15:52:00Z,aborted_rate_limit_or_circuit_open,0,2,rate_limit_or_circuit_open,91,2,,FALSE,uv run python execute_replicates.py --arm openrouter_B --model google/gemini-3.6-flash --max-concurrency 2 --execute --invocation-id or-b-gemini-resume3-r5 --db [REDACTED_PATH],logs/or-b-gemini-resume3-r5.jsonl,Round 5 of 6; +0 scores; cuestionario-teorico|31 run 2 newly exhausted.
or-b-gemini-resume3-r6,openrouter_B,B,google/gemini-3.6-flash,ab520_adjusted_B_replication,ab520_incorrect_triplicates_or_B_20260805,100,2,2026-08-06T15:52:00Z,2026-08-06T15:52:00Z,aborted_rate_limit_or_circuit_open,0,2,rate_limit_or_circuit_open,90,2,,FALSE,uv run python execute_replicates.py --arm openrouter_B --model google/gemini-3.6-flash --max-concurrency 2 --execute --invocation-id or-b-gemini-resume3-r6 --db [REDACTED_PATH],logs/or-b-gemini-resume3-r6.jsonl,"Round 6 of 6, loop abandoned after this round per STATUS.md. +0 scores; cuestionario-teorico|31 run 3 newly exhausted. Net effect of the 6-round loop: +2 scores banked, 5 additional cells pushed to the 5-attempt ceiling. Do not repeat this design (fixed queue order re-attacks the head cell every round)."
or-b-gemini-vertex-TEST-4cells,openrouter_B,B,google/gemini-3.6-flash,ab520_adjusted_B_replication,ab520_incorrect_triplicates_or_B_20260805,4,1,2026-08-06T21:05:38Z,2026-08-06T21:06:03Z,completed,4,0,,0,0,google-vertex,TRUE,uv run python execute_replicates.py --arm openrouter_B --model google/gemini-3.6-flash --max-concurrency 1 --execute --invocation-id or-b-gemini-vertex-TEST-4cells --db [REDACTED_PATH],logs/or-b-gemini-vertex-TEST-4cells.jsonl,"PROTOCOL DEVIATION test batch (4 cells) confirming Google Vertex routing behavior before authorizing the full run. DB request_json shows provider.order[0]=google-vertex, require_parameters=false, allow_fallbacks=false, though this is not visible in the recorded redacted_command or log start-event plan (verified discrepancy — see LEDGER_README.md)."
or-b-gemini-vertex-run1,openrouter_B,B,google/gemini-3.6-flash,ab520_adjusted_B_replication,ab520_incorrect_triplicates_or_B_20260805,100,3,2026-08-06T21:13:01Z,2026-08-06T21:16:17Z,completed_with_unresolved,87,0,,0,6,google-vertex,TRUE,uv run python execute_replicates.py --arm openrouter_B --model google/gemini-3.6-flash --max-concurrency 3 --execute --invocation-id or-b-gemini-vertex-run1 --db [REDACTED_PATH],logs/or-b-gemini-vertex-run1.jsonl,"PROTOCOL DEVIATION full run: openrouter_B gemini routed to Google Vertex at default temperature (temperature=0/top_p=1.0 silently dropped), authorized by the PI. Scored 87 of 87 executed; skipped 6 already-scored (2 real-temperature AI Studio cells collected 2026-08-05, plus cells banked by the resume loop); 7 cells entered already exhausted at the 5-attempt ceiling from prior rounds. Same discrepancy as vertex-TEST-4cells: the deviation flag does not appear in the recorded command string, but DB request_json confirms google-vertex routing with require_parameters=false."
