cell_key,arm,provider,condition,question_id,source_key,origin,model,run_index,failure_class,attempt_count,attempt_history_json,latest_status_code,latest_latency_ms,latest_finish_reason,latest_error_type,parse_status,source_form_input_char_count,request_user_content_char_count,result_experiment,result_database,source_workbook,source_workbook_sha256,source_excel_row,content_sha256,raw_form_sha256,request_sha256,response_sha256
openrouter|A|b320|comunitat-valenciana|2022|main-47-80|72|z-ai/glm-5.2|1,openrouter_A,openrouter,A,b320,comunitat-valenciana|2022|main-47-80|72,retained318,z-ai/glm-5.2,1,openrouter_glm_length_no_parse_after_retries,3,"[{""attempt_index"":1,""status_code"":200,""latency_ms"":307296,""finish_reason"":""length"",""error_type"":null,""parse_status"":""failed_no_answer_found"",""selected_letter"":null},{""attempt_index"":2,""status_code"":null,""latency_ms"":null,""finish_reason"":null,""error_type"":""timeout"",""parse_status"":null,""selected_letter"":null},{""attempt_index"":3,""status_code"":null,""latency_ms"":63195,""finish_reason"":null,""error_type"":""request_error"",""parse_status"":null,""selected_letter"":null}]",,63195,,request_error,,531,3517,ab520_gapfill_or_A_b320_glm,data/experiment-4-aug-26/results/ab520-gapfill-2026-08-04/runs/ab520-gapfill-2026-08-04.sqlite,data/experiment-4-aug-26/flat-A.xlsx,9376f7e6a55c0584501766e5d5ac16cbf720cefcf5733e9e52903c73eede936a,210,aa4b4f50656e54e3fffe787bca5e3aad04bf13d0964c3e3e6c164e9b3d233166,31f89cf55b5125f7fa669ec24c9f89545302673dd242cecd2d80449747102825,b37b05b20dd698f3c896174f9ad9509d9ece10f88366d391a75daf91b324dfe5,
tailscale_medical_rag|A|b143|illes-balears|2022|caso-7|146|google/gemma-4-26b-a4b-it|1,tailscale_A,tailscale_medical_rag,A,b143,illes-balears|2022|caso-7|146,retained318,google/gemma-4-26b-a4b-it,1,tailscale_http500_correlated_overlength_exact_input,1,"[{""attempt_index"":1,""status_code"":500,""latency_ms"":67,""finish_reason"":null,""error_type"":""server_error"",""parse_status"":null,""selected_letter"":null}]",500,67,,server_error,,6046,6082,ab520_gapfill_ts_A_gap_gemma,data/experiment-4-aug-26/results/ab520-gapfill-2026-08-04/runs/ab520-gapfill-2026-08-04.sqlite,data/experiment-4-aug-26/flat-A.xlsx,9376f7e6a55c0584501766e5d5ac16cbf720cefcf5733e9e52903c73eede936a,94,691c44bf76af7ab683bced8401fd598c3c9723ae637420a55775301724596aa2,cf5c1bac324e84ff24a9d0d29dbc31c3b142fc8be6d25f2a2462777d78e4ccfa,37ef59daac6c31e25ae58af74fe94480915962c3553f90e728e602b20709c8d1,4b8d850893f7363573989e0550d1bf54001d32da48a6ae508a71f25c12923434
tailscale_medical_rag|A|b143|illes-balears|2022|caso-7|146|qwen/qwen3.6-35b-a3b|1,tailscale_A,tailscale_medical_rag,A,b143,illes-balears|2022|caso-7|146,retained318,qwen/qwen3.6-35b-a3b,1,tailscale_http500_correlated_overlength_exact_input,1,"[{""attempt_index"":1,""status_code"":500,""latency_ms"":265,""finish_reason"":null,""error_type"":""server_error"",""parse_status"":null,""selected_letter"":null}]",500,265,,server_error,,6046,6082,ab520_gapfill_ts_A_gap_qwen,data/experiment-4-aug-26/results/ab520-gapfill-2026-08-04/runs/ab520-gapfill-2026-08-04.sqlite,data/experiment-4-aug-26/flat-A.xlsx,9376f7e6a55c0584501766e5d5ac16cbf720cefcf5733e9e52903c73eede936a,94,691c44bf76af7ab683bced8401fd598c3c9723ae637420a55775301724596aa2,cf5c1bac324e84ff24a9d0d29dbc31c3b142fc8be6d25f2a2462777d78e4ccfa,92a1790b3f9fde20e75ebffe1e609f92d66fc6c3ffc6796be1a5900997e2f627,3888180730a6df5d3a34ef73447d87c66ce30ce02b55e04e5eb5b5b787bc566b
tailscale_medical_rag|A|b143|illes-balears|2022|caso-7|146|z-ai/glm-5.2|1,tailscale_A,tailscale_medical_rag,A,b143,illes-balears|2022|caso-7|146,retained318,z-ai/glm-5.2,1,tailscale_http500_correlated_overlength_exact_input,4,"[{""attempt_index"":1,""status_code"":500,""latency_ms"":299,""finish_reason"":null,""error_type"":""server_error"",""parse_status"":null,""selected_letter"":null},{""attempt_index"":2,""status_code"":500,""latency_ms"":247,""finish_reason"":null,""error_type"":""server_error"",""parse_status"":null,""selected_letter"":null},{""attempt_index"":3,""status_code"":500,""latency_ms"":242,""finish_reason"":null,""error_type"":""server_error"",""parse_status"":null,""selected_letter"":null},{""attempt_index"":4,""status_code"":500,""latency_ms"":664,""finish_reason"":null,""error_type"":""server_error"",""parse_status"":null,""selected_letter"":null}]",500,664,,server_error,,6046,6082,ab520_gapfill_ts_A_gap_glm,data/experiment-4-aug-26/results/ab520-gapfill-2026-08-04/runs/ab520-gapfill-2026-08-04.sqlite,data/experiment-4-aug-26/flat-A.xlsx,9376f7e6a55c0584501766e5d5ac16cbf720cefcf5733e9e52903c73eede936a,94,691c44bf76af7ab683bced8401fd598c3c9723ae637420a55775301724596aa2,cf5c1bac324e84ff24a9d0d29dbc31c3b142fc8be6d25f2a2462777d78e4ccfa,fae56c0060cbd427a0fe756a7d12b5c7f45bc8ef7aa4bc36a52d06413f833663,7a6c84a13aa5ad3a35c215cc08a9f5ab16e383689b8669c07af1cb7cce404b6b
tailscale_medical_rag|A|b147|illes-balears|2022|caso-7|150|google/gemini-3.6-flash|1,tailscale_A,tailscale_medical_rag,A,b147,illes-balears|2022|caso-7|150,retained318,google/gemini-3.6-flash,1,tailscale_http500_correlated_overlength_exact_input,2,"[{""attempt_index"":1,""status_code"":500,""latency_ms"":327,""finish_reason"":null,""error_type"":""server_error"",""parse_status"":null,""selected_letter"":null},{""attempt_index"":2,""status_code"":500,""latency_ms"":234,""finish_reason"":null,""error_type"":""server_error"",""parse_status"":null,""selected_letter"":null}]",500,234,,server_error,,5636,5672,ab520_gapfill_ts_A_gap_gemini,data/experiment-4-aug-26/results/ab520-gapfill-2026-08-04/runs/ab520-gapfill-2026-08-04.sqlite,data/experiment-4-aug-26/flat-A.xlsx,9376f7e6a55c0584501766e5d5ac16cbf720cefcf5733e9e52903c73eede936a,95,231d7ece88eb3e8e981bd326cbdafb8f2c587073ea4d1ddd17cc492280294808,692d4f988030c329badd8561ad48f225f94db0429b67523a8ce0c0ca1c8a1681,76c70f56373b2f75f8f33156c40fce34fd5e65db1fa1ad8e2834bc890aaeee75,794cbdd23362d214aee1f3c755bdda9858bd78a42431635c9ea64766d5e666de
tailscale_medical_rag|A|b147|illes-balears|2022|caso-7|150|google/gemma-4-26b-a4b-it|1,tailscale_A,tailscale_medical_rag,A,b147,illes-balears|2022|caso-7|150,retained318,google/gemma-4-26b-a4b-it,1,tailscale_http500_correlated_overlength_exact_input,1,"[{""attempt_index"":1,""status_code"":500,""latency_ms"":259,""finish_reason"":null,""error_type"":""server_error"",""parse_status"":null,""selected_letter"":null}]",500,259,,server_error,,5636,5672,ab520_gapfill_ts_A_gap_gemma,data/experiment-4-aug-26/results/ab520-gapfill-2026-08-04/runs/ab520-gapfill-2026-08-04.sqlite,data/experiment-4-aug-26/flat-A.xlsx,9376f7e6a55c0584501766e5d5ac16cbf720cefcf5733e9e52903c73eede936a,95,231d7ece88eb3e8e981bd326cbdafb8f2c587073ea4d1ddd17cc492280294808,692d4f988030c329badd8561ad48f225f94db0429b67523a8ce0c0ca1c8a1681,b8c22f467cd7b7f04fecf578d10fb0a8a2bd96b01703dbad5c3114af66c61f46,4b8d850893f7363573989e0550d1bf54001d32da48a6ae508a71f25c12923434
tailscale_medical_rag|A|b147|illes-balears|2022|caso-7|150|qwen/qwen3.6-35b-a3b|1,tailscale_A,tailscale_medical_rag,A,b147,illes-balears|2022|caso-7|150,retained318,qwen/qwen3.6-35b-a3b,1,tailscale_http500_correlated_overlength_exact_input,1,"[{""attempt_index"":1,""status_code"":500,""latency_ms"":270,""finish_reason"":null,""error_type"":""server_error"",""parse_status"":null,""selected_letter"":null}]",500,270,,server_error,,5636,5672,ab520_gapfill_ts_A_gap_qwen,data/experiment-4-aug-26/results/ab520-gapfill-2026-08-04/runs/ab520-gapfill-2026-08-04.sqlite,data/experiment-4-aug-26/flat-A.xlsx,9376f7e6a55c0584501766e5d5ac16cbf720cefcf5733e9e52903c73eede936a,95,231d7ece88eb3e8e981bd326cbdafb8f2c587073ea4d1ddd17cc492280294808,692d4f988030c329badd8561ad48f225f94db0429b67523a8ce0c0ca1c8a1681,98c9488bd798624fcdf64d6bf14b8527967b55d04477a085884438832ae35ec4,3888180730a6df5d3a34ef73447d87c66ce30ce02b55e04e5eb5b5b787bc566b
tailscale_medical_rag|A|b147|illes-balears|2022|caso-7|150|z-ai/glm-5.2|1,tailscale_A,tailscale_medical_rag,A,b147,illes-balears|2022|caso-7|150,retained318,z-ai/glm-5.2,1,tailscale_http500_correlated_overlength_exact_input,4,"[{""attempt_index"":1,""status_code"":500,""latency_ms"":293,""finish_reason"":null,""error_type"":""server_error"",""parse_status"":null,""selected_letter"":null},{""attempt_index"":2,""status_code"":500,""latency_ms"":67,""finish_reason"":null,""error_type"":""server_error"",""parse_status"":null,""selected_letter"":null},{""attempt_index"":3,""status_code"":500,""latency_ms"":244,""finish_reason"":null,""error_type"":""server_error"",""parse_status"":null,""selected_letter"":null},{""attempt_index"":4,""status_code"":500,""latency_ms"":767,""finish_reason"":null,""error_type"":""server_error"",""parse_status"":null,""selected_letter"":null}]",500,767,,server_error,,5636,5672,ab520_gapfill_ts_A_gap_glm,data/experiment-4-aug-26/results/ab520-gapfill-2026-08-04/runs/ab520-gapfill-2026-08-04.sqlite,data/experiment-4-aug-26/flat-A.xlsx,9376f7e6a55c0584501766e5d5ac16cbf720cefcf5733e9e52903c73eede936a,95,231d7ece88eb3e8e981bd326cbdafb8f2c587073ea4d1ddd17cc492280294808,692d4f988030c329badd8561ad48f225f94db0429b67523a8ce0c0ca1c8a1681,afb6e45f13d44c9dc47e8cc3603d67d29f30b9cf0c215e878d53b70f443c65db,7a6c84a13aa5ad3a35c215cc08a9f5ab16e383689b8669c07af1cb7cce404b6b
tailscale_medical_rag|A|b148|illes-balears|2022|caso-7|151|google/gemini-3.6-flash|1,tailscale_A,tailscale_medical_rag,A,b148,illes-balears|2022|caso-7|151,retained318,google/gemini-3.6-flash,1,tailscale_http500_correlated_overlength_exact_input,2,"[{""attempt_index"":1,""status_code"":500,""latency_ms"":130,""finish_reason"":null,""error_type"":""server_error"",""parse_status"":null,""selected_letter"":null},{""attempt_index"":2,""status_code"":500,""latency_ms"":237,""finish_reason"":null,""error_type"":""server_error"",""parse_status"":null,""selected_letter"":null}]",500,237,,server_error,,6040,6076,ab520_gapfill_ts_A_gap_gemini,data/experiment-4-aug-26/results/ab520-gapfill-2026-08-04/runs/ab520-gapfill-2026-08-04.sqlite,data/experiment-4-aug-26/flat-A.xlsx,9376f7e6a55c0584501766e5d5ac16cbf720cefcf5733e9e52903c73eede936a,96,7e9114b82bf1a82ab1c80748e1549d32f9d59831542e36d0bce4ed6eb55dd85b,5236d95264d35a525f7696ec82250593e579248ced418aaed95716006e249bd9,97b24f1fca3a6f0b59fdc03bcf4c8c6ec54ea435cd1d1cccbf68756d54f901cc,794cbdd23362d214aee1f3c755bdda9858bd78a42431635c9ea64766d5e666de
tailscale_medical_rag|A|b148|illes-balears|2022|caso-7|151|google/gemma-4-26b-a4b-it|1,tailscale_A,tailscale_medical_rag,A,b148,illes-balears|2022|caso-7|151,retained318,google/gemma-4-26b-a4b-it,1,tailscale_http500_correlated_overlength_exact_input,1,"[{""attempt_index"":1,""status_code"":500,""latency_ms"":260,""finish_reason"":null,""error_type"":""server_error"",""parse_status"":null,""selected_letter"":null}]",500,260,,server_error,,6040,6076,ab520_gapfill_ts_A_gap_gemma,data/experiment-4-aug-26/results/ab520-gapfill-2026-08-04/runs/ab520-gapfill-2026-08-04.sqlite,data/experiment-4-aug-26/flat-A.xlsx,9376f7e6a55c0584501766e5d5ac16cbf720cefcf5733e9e52903c73eede936a,96,7e9114b82bf1a82ab1c80748e1549d32f9d59831542e36d0bce4ed6eb55dd85b,5236d95264d35a525f7696ec82250593e579248ced418aaed95716006e249bd9,e7f683211e74f0b27d39e02069ed921e6dbb1c709a6078f510e74d6f2769b8e0,4b8d850893f7363573989e0550d1bf54001d32da48a6ae508a71f25c12923434
tailscale_medical_rag|A|b148|illes-balears|2022|caso-7|151|qwen/qwen3.6-35b-a3b|1,tailscale_A,tailscale_medical_rag,A,b148,illes-balears|2022|caso-7|151,retained318,qwen/qwen3.6-35b-a3b,1,tailscale_http500_correlated_overlength_exact_input,1,"[{""attempt_index"":1,""status_code"":500,""latency_ms"":264,""finish_reason"":null,""error_type"":""server_error"",""parse_status"":null,""selected_letter"":null}]",500,264,,server_error,,6040,6076,ab520_gapfill_ts_A_gap_qwen,data/experiment-4-aug-26/results/ab520-gapfill-2026-08-04/runs/ab520-gapfill-2026-08-04.sqlite,data/experiment-4-aug-26/flat-A.xlsx,9376f7e6a55c0584501766e5d5ac16cbf720cefcf5733e9e52903c73eede936a,96,7e9114b82bf1a82ab1c80748e1549d32f9d59831542e36d0bce4ed6eb55dd85b,5236d95264d35a525f7696ec82250593e579248ced418aaed95716006e249bd9,886abe0f56f3947a2307b9f7430824d29c2877b0354ee158040a441b9d2b581e,3888180730a6df5d3a34ef73447d87c66ce30ce02b55e04e5eb5b5b787bc566b
